Label,releaseYear,releaseMonth,sommeCopiesSold
"Free to Play",2017,Jan,2504052
"Free to Play",2017,Jul,49053010
"Free to Play",2017,Jun,7023380
"Free to Play",2017,Mar,20596088
"Free to Play",2017,May,5933841
"Free to Play",2017,Nov,22759925
"Free to Play",2017,Oct,40492984
"Free to Play",2017,Sep,3129117
"Free to Play",2017,NULL,214412854
"Free to Play",2018,Apr,6576056
"Free to Play",2018,Aug,1743257
"Free to Play",2018,Dec,1214421
"Free to Play",2018,Feb,18139138
"Free to Play",2018,Jan,5886517
"Free to Play",2018,Jul,718013
"Free to Play",2018,Jun,19763390
"Free to Play",2018,Mar,5548650
"Free to Play",2018,May,21638611
"Free to Play",2018,Nov,2288142
"Free to Play",2018,Oct,1442225
"Free to Play",2018,Sep,5050223
"Free to Play",2018,NULL,90008643
"Free to Play",2019,Apr,8157767
"Free to Play",2019,Aug,2405923
"Free to Play",2019,Dec,3744928
"Free to Play",2019,Feb,2758572
"Free to Play",2019,Jan,1098670
"Free to Play",2019,Jul,5259659
"Free to Play",2019,Jun,21415522
"Free to Play",2019,Mar,1480147
"Free to Play",2019,May,16790937
"Free to Play",2019,Nov,5992429
"Free to Play",2019,Oct,4469360
"Free to Play",2019,Sep,1274891
"Free to Play",2019,NULL,74848805
"Free to Play",2020,Apr,5443042
"Free to Play",2020,Aug,6672768
"Free to Play",2020,Dec,2972304
"Free to Play",2020,Feb,8900817
"Free to Play",2020,Jan,4270758
"Free to Play",2020,Jul,6948112
"Free to Play",2020,Jun,28221552
"Free to Play",2020,Mar,7033217
"Free to Play",2020,May,12208771
"Free to Play",2020,Nov,2100571
"Free to Play",2020,Oct,8632063
"Free to Play",2020,Sep,3419158
"Free to Play",2020,NULL,96823133
"Free to Play",2021,Apr,7639722
"Free to Play",2021,Aug,8058251
"Free to Play",2021,Dec,8392964
"Free to Play",2021,Feb,3215895
"Free to Play",2021,Jan,2443136
"Free to Play",2021,Jul,5937541
"Free to Play",2021,Jun,13301673
"Free to Play",2021,Mar,5064578
"Free to Play",2021,May,8553161
"Free to Play",2021,Nov,20351280
"Free to Play",2021,Oct,37785798
"Free to Play",2021,Sep,17809682
"Free to Play",2021,NULL,138553681
"Free to Play",2022,Apr,1457992
"Free to Play",2022,Aug,20530972
"Free to Play",2022,Dec,8732985
"Free to Play",2022,Feb,2506002
"Free to Play",2022,Jan,1727985
"Free to Play",2022,Jul,10985979
"Free to Play",2022,Jun,1567707
"Free to Play",2022,Mar,6698816
"Free to Play",2022,May,4075425
"Free to Play",2022,Nov,7417497
"Free to Play",2022,Oct,5616019
"Free to Play",2022,Sep,6255207
"Free to Play",2022,NULL,77572586
"Free to Play",2023,Apr,3654750
"Free to Play",2023,Aug,17927333
"Free to Play",2023,Dec,4707144
"Free to Play",2023,Feb,5787731
"Free to Play",2023,Jan,4003241
"Free to Play",2023,Jul,6379597
"Free to Play",2023,Jun,21805926
"Free to Play",2023,Mar,2845617
"Free to Play",2023,May,5478418
"Free to Play",2023,Nov,2850546
"Free to Play",2023,Oct,693225
"Free to Play",2023,Sep,6701220
"Free to Play",2023,NULL,82834748
"Free to Play",2024,Apr,41026099
"Free to Play",2024,Aug,5022163
"Free to Play",2024,Feb,1719024
"Free to Play",2024,Jan,3758314
"Free to Play",2024,Jul,6346464
"Free to Play",2024,Jun,9844263
"Free to Play",2024,Mar,2524497
"Free to Play",2024,May,4213747
"Free to Play",2024,Sep,1084120
"Free to Play",2024,NULL,75538691
"Free to Play",NULL,NULL,1072547219
Racing,1997,Jun,12147
Racing,1997,NULL,12147
Racing,2006,Aug,23285
Racing,2006,Dec,1152993
Racing,2006,Nov,3619
Racing,2006,NULL,1179897
Racing,2007,Feb,155672
Racing,2007,Jun,168
Racing,2007,Sep,12880
Racing,2007,NULL,168720
Racing,2008,Apr,4087605
Racing,2008,Aug,529791
Racing,2008,Jan,30635
Racing,2008,Jul,5117
Racing,2008,May,70697
Racing,2008,Nov,325
Racing,2008,Oct,24048
Racing,2008,NULL,4748218
Racing,2009,Aug,92742
Racing,2009,Feb,75077
Racing,2009,Jan,4278
Racing,2009,Jul,94241
Racing,2009,May,5425
Racing,2009,Oct,267689
Racing,2009,NULL,539452
Racing,2010,Dec,1607341
Racing,2010,Feb,8800
Racing,2010,Jan,54088
Racing,2010,Mar,111866
